,Code,Name,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Trop Begin Time,Final Time,Final SLP,Final Lon,Final Lat
0,TC210003,Beatrice,A,2,2100-03-01 12:00:00,943.01,-45.04,45.78,2100-03-01 18:00:00,944.13,-44.74,46.27,2100-03-03 18:00:00,970.11,-32.3,41.93,2100-03-04 00:00:00,971.02,-29.14,42.38,2100-03-01 06:00:00,944.96,-45.1,44.65,2100-03-01 18:00:00,2100-03-08 06:00:00,1000.96,-13.5,54.0
1,TC210005,Dawn,A,2,2100-08-28 12:00:00,968.16,-79.09,29.45,2100-08-28 12:00:00,968.16,-79.09,29.45,2100-09-01 06:00:00,1003.3,-76.85,39.42,2100-09-01 12:00:00,1001.84,-74.73,41.55,2100-08-21 06:00:00,1009.56,-29.92,13.56,2100-08-23 18:00:00,2100-09-02 18:00:00,995.53,-61.0,55.0
2,TC210103,Harrison,A,2,2101-07-26 18:00:00,971.18,-50.38,41.08,2101-07-26 06:00:00,972.98,-56.11,37.49,2101-07-26 12:00:00,971.89,-53.14,39.28,2101-07-28 00:00:00,992.45,-37.66,46.61,2101-07-21 00:00:00,1006.8,-78.09,26.66,2101-07-21 00:00:00,2101-07-29 06:00:00,1006.24,-19.5,54.0
3,TC210105,Janet,A,2,2101-09-08 18:00:00,902.97,-57.85,23.01,2101-09-08 18:00:00,902.97,-57.85,23.01,2101-09-12 18:00:00,934.13,-60.07,35.72,2101-09-14 18:00:00,962.56,-47.38,49.02,2101-08-31 18:00:00,1007.41,-16.98,11.22,2101-09-01 06:00:00,2101-09-16 06:00:00,951.28,-39.41,57.41
4,TC210106,Kinen,A,2,2101-09-21 00:00:00,987.95,-57.9,27.28,2101-09-21 00:00:00,987.95,-57.9,27.28,2101-09-22 18:00:00,997.21,-55.88,36.75,2101-09-23 18:00:00,1001.49,-44.6,45.12,2101-09-14 18:00:00,1008.55,-33.91,12.24,2101-09-14 18:00:00,2101-09-24 06:00:00,1007.81,-34.25,47.25
5,TC210107,Lydia,A,2,2101-10-15 18:00:00,972.53,-44.38,34.56,2101-10-15 18:00:00,972.53,-44.38,34.56,2101-10-21 00:00:00,1000.6,-31.27,43.82,2101-10-22 12:00:00,1009.88,-14.6,43.7,2101-10-09 12:00:00,1012.97,-41.84,19.77,2101-10-09 12:00:00,2101-10-23 00:00:00,1012.93,-12.4,41.72
6,TC210108,Mario,A,2,2101-11-03 06:00:00,958.33,-57.25,45.25,2101-10-31 00:00:00,993.43,-83.39,18.79,2101-10-31 12:00:00,991.45,-82.16,20.04,2101-11-03 00:00:00,966.28,-60.25,42.5,2101-10-29 12:00:00,1004.12,-80.42,12.14,2101-10-29 12:00:00,2101-11-04 00:00:00,961.7,-44.5,53.5
7,TC210303,Tony,A,2,2103-09-30 06:00:00,973.1,-65.86,41.49,2103-09-23 18:00:00,986.2,-65.04,24.31,2103-09-28 12:00:00,996.27,-72.1,34.29,2103-10-01 12:00:00,990.47,-48.82,48.66,2103-09-13 18:00:00,1007.88,-30.37,10.25,2103-09-15 06:00:00,2103-10-04 06:00:00,1005.28,-6.5,43.5
8,TC210406,Brandon,A,2,2104-11-03 00:00:00,983.4,-80.23,30.79,2104-11-03 00:00:00,983.4,-80.23,30.79,2104-11-04 06:00:00,1002.87,-78.57,33.49,2104-11-04 12:00:00,1003.32,-77.3,34.64,2104-11-01 00:00:00,1001.5,-64.44,31.49,2104-11-01 00:00:00,2104-11-06 18:00:00,995.77,-50.5,56.75
9,TC210502,David,A,2,2105-02-19 06:00:00,963.17,-42.91,37.92,2105-02-20 12:00:00,971.34,-30.18,39.84,2105-02-22 12:00:00,1005.2,-15.75,37.5,2105-02-22 12:00:00,1005.2,-15.75,37.5,2105-02-18 06:00:00,982.06,-55.81,36.86,2105-02-20 12:00:00,2105-02-23 06:00:00,1011.07,-11.0,40.0
