,Code,Name,Lon,Lat,SLP(hPa),Winds(m/s),Dist(m),Angle,B,VLT,VUT,Time(Z),Storm Phase
0,TC200009,Flavia,-39.04,14.75,1012.31,14.4,187.36,281.68,17.22,-74.89,33.41,2000-08-29 18:00:00,Pre-Tropical
1,TC200009,Flavia,-40.74,15.09,1011.42,14.5,187.08,281.7,17.16,-59.78,28.07,2000-08-30 00:00:00,Pre-Tropical
2,TC200009,Flavia,-42.45,15.44,1010.53,14.7,186.79,281.72,14.96,-48.11,28.34,2000-08-30 06:00:00,Pre-Tropical
3,TC200009,Flavia,-43.14,15.13,1010.28,16.7,81.89,245.29,12.35,-28.83,30.82,2000-08-30 12:00:00,Pre-Tropical
4,TC200009,Flavia,-43.87,16.22,1008.1,21.2,144.19,327.42,12.71,-9.44,25.05,2000-08-30 18:00:00,Pre-Tropical
5,TC200009,Flavia,-45.8,17.23,1009.6,20.4,234.54,298.69,10.05,10.87,29.22,2000-08-31 00:00:00,Tropical
6,TC200009,Flavia,-47.02,16.21,1006.84,20.1,171.89,229.18,8.37,19.85,43.05,2000-08-31 06:00:00,Tropical
7,TC200009,Flavia,-48.89,17.01,1005.92,28.5,218.39,293.91,4.21,39.09,48.89,2000-08-31 12:00:00,Tropical
8,TC200009,Flavia,-50.48,16.72,1002.47,28.7,171.78,259.24,3.14,54.78,54.52,2000-08-31 18:00:00,Tropical
9,TC200009,Flavia,-50.83,17.39,1000.69,33.7,83.39,333.58,-2.25,77.17,66.93,2000-09-01 00:00:00,Tropical
10,TC200009,Flavia,-51.69,17.35,997.19,29.5,90.96,267.44,-4.63,96.98,73.57,2000-09-01 06:00:00,Tropical
11,TC200009,Flavia,-52.63,18.2,995.33,31.6,137.41,313.56,-8.32,124.39,81.71,2000-09-01 12:00:00,Tropical
12,TC200009,Flavia,-53.47,19.01,991.83,34.2,126.32,315.65,-6.9,155.06,96.94,2000-09-01 18:00:00,Tropical
13,TC200009,Flavia,-54.33,19.67,987.2,35.5,116.0,309.07,-8.65,193.99,140.29,2000-09-02 00:00:00,Tropical
14,TC200009,Flavia,-55.3,19.8,978.37,44.5,102.93,277.96,-9.54,222.47,183.75,2000-09-02 06:00:00,Tropical
15,TC200009,Flavia,-55.99,20.3,968.62,53.3,91.34,307.72,-10.11,251.47,245.89,2000-09-02 12:00:00,Tropical
16,TC200009,Flavia,-56.68,21.04,947.56,60.3,108.85,319.39,-10.23,267.19,302.81,2000-09-02 18:00:00,Tropical
17,TC200009,Flavia,-57.06,21.7,926.67,64.2,83.34,331.39,-9.87,275.84,357.39,2000-09-03 00:00:00,Tropical
18,TC200009,Flavia,-57.97,22.09,935.67,72.8,102.83,295.19,-8.61,276.35,384.34,2000-09-03 06:00:00,Tropical
19,TC200009,Flavia,-58.56,22.64,926.96,77.3,86.38,315.42,-6.59,278.04,409.28,2000-09-03 12:00:00,Tropical
20,TC200009,Flavia,-59.07,23.47,916.62,83.9,106.31,330.72,-4.63,275.28,409.54,2000-09-03 18:00:00,Tropical
21,TC200009,Flavia,-59.47,24.13,924.61,76.2,83.29,330.51,-2.61,277.74,411.97,2000-09-04 00:00:00,Tropical
22,TC200009,Flavia,-60.26,24.96,933.79,74.0,122.6,319.53,-1.56,272.74,416.55,2000-09-04 06:00:00,Tropical
23,TC200009,Flavia,-61.19,25.34,933.93,66.9,102.39,293.96,-0.64,268.02,415.38,2000-09-04 12:00:00,Tropical
24,TC200009,Flavia,-61.81,25.87,936.33,65.2,86.16,314.22,-0.49,267.04,409.72,2000-09-04 18:00:00,Tropical
25,TC200009,Flavia,-62.04,26.23,938.92,69.9,45.99,329.43,-0.08,273.27,408.63,2000-09-05 00:00:00,Tropical
26,TC200009,Flavia,-62.66,27.16,939.54,61.1,120.41,329.35,-1.51,272.39,407.24,2000-09-05 06:00:00,Tropical
27,TC200009,Flavia,-63.42,27.63,944.9,64.1,90.65,304.96,-2.1,276.18,404.83,2000-09-05 12:00:00,Tropical
28,TC200009,Flavia,-63.79,28.79,946.69,61.2,134.75,344.61,-1.59,283.61,397.6,2000-09-05 18:00:00,Tropical
29,TC200009,Flavia,-64.44,29.72,944.9,59.7,120.44,328.55,-0.28,296.22,398.37,2000-09-06 00:00:00,Tropical
30,TC200009,Flavia,-64.43,31.1,947.71,57.0,153.79,0.21,2.13,295.83,395.37,2000-09-06 06:00:00,Tropical
31,TC200009,Flavia,-64.97,32.59,944.52,55.5,173.05,343.12,4.36,300.61,392.76,2000-09-06 12:00:00,Tropical
32,TC200009,Flavia,-65.43,34.53,945.8,55.6,220.11,349.15,7.24,297.07,385.25,2000-09-06 18:00:00,Tropical
33,TC200009,Flavia,-65.64,36.71,944.57,57.2,243.02,355.55,11.09,280.4,382.67,2000-09-07 00:00:00,Tropical
34,TC200009,Flavia,-65.14,39.41,943.24,55.1,303.9,8.05,17.75,213.22,355.97,2000-09-07 06:00:00,Transition
35,TC200009,Flavia,-64.61,42.6,944.29,53.4,357.35,6.92,24.21,165.64,307.11,2000-09-07 12:00:00,Transition
36,TC200009,Flavia,-63.36,46.21,961.13,40.8,413.36,13.24,34.28,90.2,219.79,2000-09-07 18:00:00,Transition
37,TC200009,Flavia,-61.55,49.77,969.59,39.4,418.52,17.91,45.76,14.81,120.5,2000-09-08 00:00:00,Transition
38,TC200009,Flavia,-57.64,52.78,983.0,34.3,430.91,37.89,55.09,-48.52,22.16,2000-09-08 06:00:00,Extratropical
39,TC200009,Flavia,-53.94,54.84,986.55,25.7,333.52,45.77,61.23,-91.28,-58.19,2000-09-08 12:00:00,Extratropical
40,TC200009,Flavia,-49.09,56.68,990.45,20.1,366.36,55.07,65.18,-126.58,-115.18,2000-09-08 18:00:00,Extratropical
41,TC200010,Harrison,-36.72,16.05,1007.38,14.0,221.86,252.71,6.63,4.21,25.72,2000-09-04 18:00:00,Tropical
42,TC200010,Harrison,-37.88,15.79,1008.85,15.6,127.58,256.67,5.84,14.31,26.05,2000-09-05 00:00:00,Tropical
43,TC200010,Harrison,-39.48,15.69,1005.44,16.1,171.49,266.4,3.39,27.59,27.69,2000-09-05 06:00:00,Tropical
44,TC200010,Harrison,-40.25,15.58,1004.34,19.3,84.09,261.6,-0.24,53.02,22.78,2000-09-05 12:00:00,Tropical
45,TC200010,Harrison,-41.05,16.05,1002.43,19.8,99.96,301.32,-3.15,88.73,14.81,2000-09-05 18:00:00,Tropical
46,TC200010,Harrison,-42.19,16.73,1002.84,21.8,143.05,302.32,-6.05,112.52,8.18,2000-09-06 00:00:00,Tropical
47,TC200010,Harrison,-43.17,16.53,999.55,24.2,106.86,257.8,-7.42,127.22,0.54,2000-09-06 06:00:00,Tropical
48,TC200010,Harrison,-43.99,16.99,1001.37,22.7,101.06,300.33,-6.81,151.68,-19.79,2000-09-06 12:00:00,Tropical
49,TC200010,Harrison,-45.33,17.56,1000.93,23.9,156.16,294.18,-6.0,159.41,-35.99,2000-09-06 18:00:00,Tropical
50,TC200010,Harrison,-46.67,18.13,1000.5,25.1,155.75,294.25,-4.07,149.82,-45.14,2000-09-07 00:00:00,Tropical
51,TC200010,Harrison,-48.01,18.71,1000.06,26.2,155.32,294.32,-2.23,140.22,-42.18,2000-09-07 06:00:00,Tropical
52,TC200010,Harrison,-48.97,18.87,999.65,29.9,102.28,280.18,-1.21,136.74,-40.08,2000-09-07 12:00:00,Tropical
53,TC200010,Harrison,-49.27,18.5,998.41,26.4,51.45,217.38,-1.41,122.28,-35.8,2000-09-07 18:00:00,Tropical
54,TC200010,Harrison,-49.61,19.64,1000.07,24.8,131.46,344.23,-1.33,120.16,-28.57,2000-09-08 00:00:00,Tropical
55,TC200010,Harrison,-51.58,20.81,1000.98,24.4,243.48,302.38,-2.2,110.94,-12.1,2000-09-08 06:00:00,Tropical
56,TC200010,Harrison,-53.56,21.97,1001.89,24.1,242.14,302.59,-2.72,128.03,9.17,2000-09-08 12:00:00,Tropical
57,TC200010,Harrison,-54.03,22.36,997.48,25.5,64.6,311.6,-2.19,150.76,25.82,2000-09-08 18:00:00,Tropical
58,TC200010,Harrison,-55.55,22.69,990.27,30.4,160.92,283.5,-1.15,194.07,68.69,2000-09-09 00:00:00,Tropical
59,TC200010,Harrison,-56.94,23.47,984.3,36.9,166.12,301.52,1.6,213.58,130.74,2000-09-09 06:00:00,Tropical
60,TC200010,Harrison,-58.36,23.84,971.73,45.5,150.31,286.0,3.77,245.53,177.9,2000-09-09 12:00:00,Tropical
61,TC200010,Harrison,-59.47,24.13,962.67,47.4,117.6,285.49,5.85,262.59,214.41,2000-09-09 18:00:00,Tropical
62,TC200010,Harrison,-60.79,24.29,958.44,52.9,134.6,278.03,6.78,263.53,262.25,2000-09-10 00:00:00,Tropical
63,TC200010,Harrison,-61.71,24.66,950.99,62.1,102.31,293.75,6.59,251.61,297.84,2000-09-10 06:00:00,Tropical
64,TC200010,Harrison,-62.84,24.92,947.24,63.5,116.94,284.14,4.45,262.8,319.8,2000-09-10 12:00:00,Tropical
65,TC200010,Harrison,-63.96,25.56,941.59,69.4,133.67,302.39,2.57,275.21,347.27,2000-09-10 18:00:00,Tropical
66,TC200010,Harrison,-64.58,26.09,934.72,64.1,85.76,313.24,-0.06,277.96,370.94,2000-09-11 00:00:00,Tropical
67,TC200010,Harrison,-65.65,26.61,936.45,62.6,120.66,298.71,-2.45,287.91,389.49,2000-09-11 06:00:00,Tropical
68,TC200010,Harrison,-66.09,27.24,932.82,63.7,82.91,328.09,-4.67,295.61,402.78,2000-09-11 12:00:00,Tropical
69,TC200010,Harrison,-67.19,28.39,926.42,67.7,166.85,320.08,-6.48,302.89,407.17,2000-09-11 18:00:00,Tropical
70,TC200010,Harrison,-67.65,29.01,924.42,67.9,82.87,327.41,-7.58,307.09,406.12,2000-09-12 00:00:00,Tropical
71,TC200010,Harrison,-68.24,29.81,928.05,66.3,105.77,327.2,-7.66,318.82,403.85,2000-09-12 06:00:00,Tropical
