,Code,Name,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Trop Begin Time,Final Time,Final SLP,Final Lon,Final Lat
0,TC210001,Alex,A,0,2100-02-04 12:00:00,991.82,-34.58,27.5,2100-02-04 12:00:00,991.82,-34.58,27.5,,,,,,,,,2100-02-03 00:00:00,1005.8,-36.05,31.78,2100-02-03 00:00:00,2100-02-05 12:00:00,998.43,-40.3,26.75
1,TC210003,Beatrice,A,2,2100-03-01 12:00:00,943.01,-45.04,45.78,2100-03-01 18:00:00,944.13,-44.74,46.27,2100-03-03 18:00:00,970.11,-32.3,41.93,2100-03-04 00:00:00,971.02,-29.14,42.38,2100-03-01 06:00:00,944.96,-45.1,44.65,2100-03-01 18:00:00,2100-03-08 06:00:00,1000.96,-13.5,54.0
2,TC210004,Colin,A,1,2100-08-09 12:00:00,997.61,-49.73,45.27,2100-08-09 12:00:00,997.61,-49.73,45.27,2100-08-10 06:00:00,1004.28,-43.63,45.36,,,,,2100-08-07 00:00:00,1010.91,-67.95,39.79,2100-08-07 00:00:00,2100-08-11 06:00:00,1012.95,-36.0,49.75
3,TC210005,Dawn,A,2,2100-08-28 12:00:00,968.16,-79.09,29.45,2100-08-28 12:00:00,968.16,-79.09,29.45,2100-09-01 06:00:00,1003.3,-76.85,39.42,2100-09-01 12:00:00,1001.84,-74.73,41.55,2100-08-21 06:00:00,1009.56,-29.92,13.56,2100-08-23 18:00:00,2100-09-02 18:00:00,995.53,-61.0,55.0
4,TC210006,Ernest,A,0,2100-08-25 18:00:00,983.15,-86.28,25.74,2100-08-25 18:00:00,983.15,-86.28,25.74,,,,,,,,,2100-08-22 18:00:00,1003.73,-65.16,18.36,2100-08-22 18:00:00,2100-08-30 06:00:00,1008.18,-91.25,41.25
5,TC210007,Flavia,A,1,2100-11-16 00:00:00,942.74,-44.0,51.25,2100-11-10 18:00:00,963.95,-71.94,35.33,2100-11-13 12:00:00,990.63,-69.2,36.56,,,,,2100-11-10 18:00:00,963.95,-71.94,35.33,2100-11-10 18:00:00,2100-11-16 12:00:00,944.89,-39.0,55.5
6,TC210103,Harrison,A,2,2101-07-26 18:00:00,971.18,-50.38,41.08,2101-07-26 06:00:00,972.98,-56.11,37.49,2101-07-26 12:00:00,971.89,-53.14,39.28,2101-07-28 00:00:00,992.45,-37.66,46.61,2101-07-21 00:00:00,1006.8,-78.09,26.66,2101-07-21 00:00:00,2101-07-29 06:00:00,1006.24,-19.5,54.0
7,TC210105,Janet,A,2,2101-09-08 18:00:00,902.97,-57.85,23.01,2101-09-08 18:00:00,902.97,-57.85,23.01,2101-09-12 18:00:00,934.13,-60.07,35.72,2101-09-14 18:00:00,962.56,-47.38,49.02,2101-08-31 18:00:00,1007.41,-16.98,11.22,2101-09-01 06:00:00,2101-09-16 06:00:00,951.28,-39.41,57.41
8,TC210106,Kinen,A,2,2101-09-21 00:00:00,987.95,-57.9,27.28,2101-09-21 00:00:00,987.95,-57.9,27.28,2101-09-22 18:00:00,997.21,-55.88,36.75,2101-09-23 18:00:00,1001.49,-44.6,45.12,2101-09-14 18:00:00,1008.55,-33.91,12.24,2101-09-14 18:00:00,2101-09-24 06:00:00,1007.81,-34.25,47.25
9,TC210107,Lydia,A,2,2101-10-15 18:00:00,972.53,-44.38,34.56,2101-10-15 18:00:00,972.53,-44.38,34.56,2101-10-21 00:00:00,1000.6,-31.27,43.82,2101-10-22 12:00:00,1009.88,-14.6,43.7,2101-10-09 12:00:00,1012.97,-41.84,19.77,2101-10-09 12:00:00,2101-10-23 00:00:00,1012.93,-12.4,41.72
